date,value
2020-01-31,0.4967141530112327
2020-02-29,0.03122722425254415
2020-03-31,0.9866715889481501
2020-04-30,2.0315044326792115
2020-05-31,0.44381272697157925
2020-06-30,0.6133206701694635
2020-07-31,2.5961619680497643
2020-08-31,1.9538754071190105
2020-09-30,0.8864578174548783
2020-10-31,2.067983772399524
2020-11-30,1.2314975614248258
2020-12-31,1.39867702609076
2021-01-31,2.27586057665078
2021-02-28,0.2901095858506766
2021-03-31,0.6479635234191705
2021-04-30,1.9800853521149593
2021-05-31,1.699033286445237
2021-06-30,3.1956032647986636
2021-07-31,2.1428233821059077
2021-08-31,1.8080352817155558
2021-09-30,4.85547927739613
2021-10-31,3.333545733411769
2021-11-30,3.7963417640099575
2021-12-31,2.4735568985323058
2022-01-31,3.5234138856443087
2022-02-28,4.348210725303086
2022-03-31,3.2557860835946464
2022-04-30,4.95196920478635
2022-05-31,4.145124021945602
2022-06-30,4.623560487494858
2022-07-31,4.483039150482467
2022-08-31,7.106515472644531
2022-09-30,5.410231588821388
2022-10-31,4.535509410027149
2022-11-30,6.5852567765099685
2022-12-31,4.711359739859486
2023-01-31,6.310558510258993
2023-02-28,4.31151631679819
2023-03-31,5.112491917203264
2023-04-30,6.807030727394547
2023-05-31,7.518127596944563
2023-06-30,7.120520823562851
2023-07-31,7.00299578540837
2023-08-31,6.98703189763105
2023-09-30,5.97910512827664
2023-10-31,6.907274435673087
2023-11-30,7.335971398531737
2023-12-31,9.02322392113417
2024-01-31,8.479211509907444
2024-02-29,6.542044590399977
2024-03-31,8.798660240581235
2024-04-30,8.258985516193853
2024-05-31,8.136637321727939
2024-06-30,9.594727136298495
2024-07-31,10.183541895377306
2024-08-31,10.253314017421284
2024-09-30,8.652307900506175
2024-10-31,9.351804573301328
2024-11-30,10.161771905979833
2024-12-31,10.97554512712236
